year,country_id,country_name,population,gdp,gdp_per_capita,stability,democracy,corruption,unemployment,net_migration,birth_rate,death_rate,inflation,resource_reserve_index
1,0,Country_1,41207253,5572723069.08,135.24,61.16,39.88,1.26,16.11,-155656,0.0128,0.0296,0.0257,0.10
1,1,Country_2,1309869,341966931.46,261.07,78.61,49.17,26.08,8.03,-5099,0.0170,0.0100,0.0407,0.09
1,2,Country_3,4307373,1611127029.94,374.04,75.49,36.73,92.47,1.97,-29020,0.0126,0.0157,0.0131,0.06
1,3,Country_4,19703349,3517774066.43,178.54,65.59,37.46,19.95,23.64,-113659,0.0169,0.0110,0.0448,0.26
1,4,Country_5,440035200,95475729858.32,216.97,63.32,56.62,2.62,14.53,-1472839,0.0224,0.0292,0.0222,0.96
1,5,Country_6,4882148,578554654.22,118.50,51.02,34.37,92.87,24.38,-44122,0.0186,0.0132,0.0243,0.03
1,6,Country_7,83748671,24665090155.30,294.51,24.07,80.08,24.26,9.40,-582223,0.0090,0.0307,0.0392,0.21
1,7,Country_8,63466212,13049914891.84,205.62,74.37,62.55,89.76,6.57,-561671,0.0281,0.0135,0.0173,0.16
1,8,Country_9,86885688,9332395319.00,107.41,60.60,30.78,14.92,18.76,-657132,0.0187,0.0114,0.0136,0.73
1,9,Country_10,47342913,4194047426.72,88.59,46.73,50.57,80.39,24.31,-673668,0.0176,0.0274,0.0257,0.23
1,10,Country_11,541382,158705793.95,293.15,28.32,21.37,27.91,18.12,-4368,0.0088,0.0275,0.0282,0.03
1,11,Country_12,37600776,11753591726.14,312.59,49.36,36.73,74.98,17.06,-580422,0.0133,0.0321,0.0185,0.08
1,12,Country_13,27333986,12059007434.10,441.17,64.21,59.11,94.40,7.10,-315307,0.0161,0.0146,0.0266,0.48
1,13,Country_14,3412376,1008216529.13,295.46,62.44,74.00,16.91,11.16,-8620,0.0253,0.0323,0.0284,0.06
1,14,Country_15,45769762,20858667688.30,455.73,57.06,29.64,11.66,6.25,-325249,0.0160,0.0199,0.0306,0.62
1,15,Country_16,4125285,1772332043.60,429.63,24.13,57.14,86.44,10.78,-45637,0.0072,0.0178,0.0141,0.04
1,16,Country_17,29575561,8012229330.74,270.91,59.05,27.47,95.82,2.62,-471080,0.0189,0.0194,0.0200,0.11
1,17,Country_18,1431140,458512516.96,320.38,27.67,34.70,13.66,7.51,-10562,0.0078,0.0219,0.0409,0.11
1,18,Country_19,506548,59982986.11,118.42,22.37,21.89,95.87,13.26,-7930,0.0086,0.0131,0.0216,0.03
1,19,Country_20,84389888,27016519161.88,320.14,46.29,35.38,25.80,8.77,-472393,0.0115,0.0286,0.0230,0.86
1,20,Country_21,177011849,47420509450.84,267.89,21.81,24.56,67.94,24.85,-2927816,0.0087,0.0311,0.0320,0.48
1,21,Country_22,11433833,2554965948.29,223.46,55.84,53.34,22.26,5.92,-77375,0.0129,0.0264,0.0226,0.47
1,22,Country_23,1972080,370113448.42,187.68,35.53,60.18,8.79,20.96,-6475,0.0108,0.0174,0.0346,0.11
1,23,Country_24,2349890,844302034.74,359.29,48.98,76.51,27.02,9.24,-1357,0.0071,0.0183,0.0246,0.19
1,24,Country_25,40993524,10806970747.77,263.63,29.05,56.12,81.79,21.04,-927976,0.0082,0.0192,0.0204,0.52
1,25,Country_26,765518,95974279.66,125.37,49.58,31.25,36.16,9.42,-7752,0.0189,0.0123,0.0295,0.10
1,26,Country_27,680330,169006271.53,248.42,73.46,77.88,28.49,7.09,568,0.0102,0.0298,0.0466,0.11
